jaar;index;lower;upper
2007,0000;1,0000;0,8980;1,1136
2008,0000;1,0144;0,9160;1,1234
2009,0000;0,9746;0,8804;1,0789
2010,0000;0,9804;0,8857;1,0853
2011,0000;0,9853;0,8909;1,0896
2012,0000;0,9935;0,9000;1,0967
2013,0000;1,0030;0,9063;1,1100
2014,0000;0,9901;0,8956;1,0945
2015,0000;0,9738;0,8804;1,0772
2016,0000;0,9384;0,8462;1,0407
2017,0000;0,9089;0,8146;1,0143
2018,0000;0,9131;0,8109;1,0282
