Jaar;deel;zone;fysiotoop;oppervlakte
2010;Beneden-Zeeschelde;subtidaal;diep subtidaal;1964,63
2010;Beneden-Zeeschelde;subtidaal;matig subtidaal;396,02
2010;Beneden-Zeeschelde;subtidaal;ondiep subtidaal;242,30
2010;Beneden-Zeeschelde;slik;laag slik;176,37
2010;Beneden-Zeeschelde;slik;middelhoog slik;263,03
2010;Beneden-Zeeschelde;slik;hoog slik;46,40
2010;Beneden-Zeeschelde;supralitoraal;supralitoraal;263,53
2013;Beneden-Zeeschelde;subtidaal;diep subtidaal;1962,88
2013;Beneden-Zeeschelde;subtidaal;matig subtidaal;389,75
2013;Beneden-Zeeschelde;subtidaal;ondiep subtidaal;248,47
2013;Beneden-Zeeschelde;slik;laag slik;184,50
2013;Beneden-Zeeschelde;slik;middelhoog slik;265,05
2013;Beneden-Zeeschelde;slik;hoog slik;63,06
2013;Beneden-Zeeschelde;supralitoraal;supralitoraal;280,15
2016;Beneden-Zeeschelde;subtidaal;diep subtidaal;1968,81
2016;Beneden-Zeeschelde;subtidaal;matig subtidaal;380,38
2016;Beneden-Zeeschelde;subtidaal;ondiep subtidaal;250,85
2016;Beneden-Zeeschelde;slik;laag slik;177,28
2016;Beneden-Zeeschelde;slik;middelhoog slik;267,71
2016;Beneden-Zeeschelde;slik;hoog slik;65,57
2016;Beneden-Zeeschelde;supralitoraal;supralitoraal;322,15
2010;Boven-Zeeschelde;subtidaal;diep subtidaal;274,73
2010;Boven-Zeeschelde;subtidaal;matig subtidaal;332,41
2010;Boven-Zeeschelde;subtidaal;ondiep subtidaal;126,22
2010;Boven-Zeeschelde;slik;laag slik;83,27
2010;Boven-Zeeschelde;slik;middelhoog slik;114,27
2010;Boven-Zeeschelde;slik;hoog slik;14,30
2010;Boven-Zeeschelde;supralitoraal;supralitoraal;378,31
2013;Boven-Zeeschelde;subtidaal;diep subtidaal;286,71
2013;Boven-Zeeschelde;subtidaal;matig subtidaal;322,12
2013;Boven-Zeeschelde;subtidaal;ondiep subtidaal;130,30
2013;Boven-Zeeschelde;slik;laag slik;83,14
2013;Boven-Zeeschelde;slik;middelhoog slik;108,65
2013;Boven-Zeeschelde;slik;hoog slik;7,47
2013;Boven-Zeeschelde;supralitoraal;supralitoraal;429,62
2016;Boven-Zeeschelde;subtidaal;diep subtidaal;289,18
2016;Boven-Zeeschelde;subtidaal;matig subtidaal;317,07
2016;Boven-Zeeschelde;subtidaal;ondiep subtidaal;126,99
2016;Boven-Zeeschelde;slik;laag slik;89,55
2016;Boven-Zeeschelde;slik;middelhoog slik;115,93
2016;Boven-Zeeschelde;slik;hoog slik;10,38
2016;Boven-Zeeschelde;supralitoraal;supralitoraal;420,57
