jaar;Ecotoop;Opp_vierk_m 
2010;diep subtidaal;29680620
2010;ondiep subtidaal;3685501
2010;schor;5589399
2010;slik;7247330
2013;diep subtidaal;29614608
2013;ondiep subtidaal;3787183
2013;schor;6262328
2013;slik;7316734
2016;diep subtidaal;29599656
2016;ondiep subtidaal;3778481
2016;schor;6601784
2016;slik;7476779
