NaamWetenschappelijk,Jaar,year_est,year_se,intercept,listlength,listlength_est,listlength_se,prop_est,prop_lwr,prop_upr
Acer campestre L.,1990,-1.4331849065717517,0.13073735181953566,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.24521576772736972,0.200084211967465,0.29675077251775495
Acer campestre L.,1991,-1.3374975609812212,0.11985570361014712,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.26335443577006956,0.2195454082566941,0.3124060559762297
Acer campestre L.,1992,-1.2418596945517553,0.10948352453205504,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.28232291850994634,0.24013577876837325,0.3287153348239708
Acer campestre L.,1993,-1.1463451590709457,0.09979320192062556,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.302071341755773,0.26172151763778573,0.34572880617376833
Acer campestre L.,1994,-1.0510487810239681,0.09098072015129072,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.32253258402729124,0.28411941839011057,0.36350214503857897
Acer campestre L.,1995,-0.9560774874598705,0.08324448726530108,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.34362394643084937,0.30710793498165484,0.3820875471208057
Acer campestre L.,1996,-0.8615431068813361,0.07675623817966866,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.3652494328858005,0.33044698888734597,0.4015191883820314
Acer campestre L.,1997,-0.7675566223766863,0.07162446251093682,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.38730253948884064,0.3539059099761642,0.42179325781801386
Acer campestre L.,1998,-0.6742236619422709,0.06785834119868071,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.40966941326494394,0.3772942160020016,0.4428470151389996
Acer campestre L.,1999,-0.5816410242822936,0.06534817130562882,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.4322322134984186,0.4004847133954985,0.4645463009145143
Acer campestre L.,2000,-0.4898940559235852,0.06387703671429643,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.45487249683564285,0.42341825827147134,0.48669102162137834
Acer campestre L.,2001,-0.3990547161031693,0.0631634435475957,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.47747445155521595,0.44608787027586094,0.5090399302617644
Acer campestre L.,2002,-0.30918018866976826,0.06291753512519192,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.4999278255349381,0.46851078902024684,0.5313454319669835
Acer campestre L.,2003,-0.22031192448891698,0.06289031504816035,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.5221304232369752,0.49070080647516423,0.5533857811279738
Acer campestre L.,2004,-0.13247502303777645,0.06290564443970684,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.5439900849707009,0.5126485955388185,0.5749870199154836
Acer campestre L.,2005,-0.04567788765238384,0.06287601773015701,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.5654261019037422,0.5343113808508532,0.5960336730725814
Acer campestre L.,2006,0.040087885003298046,0.06280751014294515,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.5863700583498345,0.5556100744447572,0.6164706102573729
Acer campestre L.,2007,0.12484739440643024,0.06279773719710824,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.6067661253789414,0.5764320242063193,0.6362985099542963
Acer campestre L.,2008,0.20864209142254744,0.06302672895181152,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.6265708547212194,0.5966389582601,0.6555638651998725
Acer campestre L.,2009,0.29152915990037215,0.06373708847234531,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.6457525385808804,0.6160809096958522,0.6743431371082764
Acer campestre L.,2010,0.373580559076928,0.06519931539706855,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.6642902098089223,0.634616506163285,0.6927208913626728
Acer campestre L.,2011,0.4548816354790458,0.06766347337634689,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.6821723592108375,0.652137054690602,0.7107645322558521
Acer campestre L.,2012,0.5355291878109292,0.07130875342076917,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.6993954443623203,0.6685874372485687,0.7285025117386519
Acer campestre L.,2013,0.6156288440689279,0.076209693206161,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.7159622590764616,0.683975195748035,0.7459144172649215
Acer campestre L.,2014,0.6952915873413633,0.08233210412761778,0.8464536484788807,130,-0.5375621576713651,0.06439301066568387,0.7318802263614606,0.698363874766345,0.7629365941282208
