name;YearMeanMean;YearMean05;YearMean95;YearPrecMean;YearPrec05;YearPrec95;GSMeanMean;GSMean05;GSMean95;Area (km²);EasternLim;WesternLim;NorthernLim;SouthernLim
Ribes alpinum;6,857115389;3,326925764;9,950619668;731,9968995;514,4664559;1267,043307;12,85030557;9,733589146;15,80805597;2262000;43,83;-4,83;64,5;41,83
Aster amellus;6,957877272;2,126107168;11,05822548;725,1996062;516,2292474;1261,531425;14,50155387;11,66478909;17,85893429;2130400;59,83;2,5;58,17;41,5
Ribes nigrum;5,182270777;-0,129481846;9,432785348;725,8811299;508,6446742;1266,274971;12,63238935;8,6253754;15,79746429;5368000;59,83;-9,17;68,17;43,5
Ribes rubrum;6,624497552;-0,682486067;13,08457384;697,2955897;456,9292478;1206,560806;13,28055624;6,937372745;18,26550125;8985200;50,83;-10,5;74,5;38,17
Ribes uva-crispa;7,712747063;3,690982744;13,5452461;730,2681595;512,1935198;1239,263641;14,08887516;10,99145616;19,01318654;5094800;48,83;-7,83;62,83;38,5
Robinia pseudoacacia;9,936622138;6,225589776;15,40624603;720,0609238;511,8475528;1227,740226;15,95748711;12,29640148;20,35892413;3664800;52,5;-6,17;55,17;33,17
Rorippa amphibia;7,315798403;2,300211809;11,84694775;701,4080515;486,1944701;1176,902588;14,2647081;11,23757094;17,85065623;6040000;59,83;-10,5;60,5;41,83
Rosa arvensis;10,28631696;6,992594037;14,59523287;741,1040688;521,3261525;1335,105813;15,14205016;11,59958628;19,67965621;1995600;23,83;-10,5;55,83;38,83
Rosa canina;9,195377017;4,155232494;15,65627554;715,7101267;470,9095577;1305,270788;15,24664217;11,09896484;20,63392942;7368400;48,83;-10,5;61,83;35,5
Rosa rubiginosa;9,269744152;6,170851018;13,06092673;734,7018968;516,0641237;1288,94371;14,31489086;10,80001468;18,66416626;3115200;26,83;-10,17;60,83;39,5
Astragalus glycyphyllos;7,606770601;3,521818339;12,0717589;718,9474121;511,2479079;1247,657512;14,17850785;10,88402443;18,49064609;4938000;48,5;-3,5;64,83;39,17
Rubus caesius;7,984931466;2,956332204;13,5191233;707,0554282;432,9799022;1285,492986;14,79781902;11,49238173;18,93551354;7002000;59,83;-10,17;60,83;38,17
Rubus idaeus;5,875325171;0,073800614;11,45272482;715,9909625;506,1712498;1241,195595;12,72101863;8,062972426;17,62044464;7596000;59,83;-10,5;68,83;36,83
Rubus saxatilis;4,293742167;-1,354907392;9,552279627;729,4223235;492,0472248;1282,464552;11,62199457;6,114081371;15,808373;6797600;59,83;-10,17;71,17;42,17
Astrantia major;8,089344194;3,812001977;13,14635411;716,8973561;518,88844;1201,592674;13,88158978;9,046685121;18,38666651;818800;26,17;-6,5;51,83;40,5
Rumex acetosa;7,077896154;-0,29070381;15,03782325;695,3047946;476,311205;1223,198608;13,7032312;7,000001803;20,32331389;9590400;59,83;-10,5;71,17;36,17
Rumex conglomeratus;10,8434148;6,615399301;17,0243211;710,061152;501,7008181;1247,489695;15,7583685;11,28776035;21,21897103;4800800;29,5;-10,17;59,5;31,83
Rumex obtusifolius;8,138748745;3,827786227;13,37869793;728,2041211;516,0400217;1321,267912;14,24565299;11,24499789;18,95029628;5202000;47,5;-9,83;59,83;38,83
Rumex sanguineus;8,789806583;6,085712121;11,72756703;728,4059081;512,2166387;1278,062262;14,16565964;11,4387198;17,5723435;3047600;33,17;-10,5;60,17;40,83
Salix aurita;6,36379;1,353221158;11,55540132;736,8278453;518,9824803;1288,046606;12,60091954;8,873400814;15,75440985;5510400;53,17;-10,5;68,17;41,17
Salix caprea;6,125032694;0,295615178;12,51756015;735,0844597;513,9699469;1300,401761;12,7808826;7,51896863;17,66559849;7969600;59,83;-10,5;70,83;40,17
Salvia glutinosa;9,63142705;3,400203511;15,29440761;735,7131898;520,7379588;1341,128575;15,49000116;9,144376559;20,14470118;1392400;46,5;2,17;49,5;38,5
Salvia pratensis;8,571493347;3,841315533;14,31300394;719,3796948;506,5472986;1273,768341;15,23897731;12,58324523;19,40561376;4280800;53,5;-5,5;56,83;37,83
Sambucus nigra;10,61253635;5,406734273;17,45664587;706,1834669;431,803999;1243,153253;15,8615;11,3375209;21,68225979;6418800;44,5;-10,17;60,5;30,17
Sambucus racemosa;7,075056304;3,948106725;10,2284347;732,1855457;520,6033886;1297,221709;13,26475915;10,7623525;16,23201902;2554400;35,17;6,5;62,17;41,83
Sanguisorba minor;10,69180219;6,363165363;16,38490006;719,1177276;499,8722938;1248,05222;15,81913647;11,55569479;20,8876597;4601600;47,5;-9,5;55,5;35,83
Sanicula europaea;8,421661311;3,835800185;13,20997815;717,2053427;517,3442148;1279,865316;14,33341809;10,6397454;19,10007254;4817200;48,17;-10,5;62,17;39,5
Scilla bifolia;9,202619986;5,25551107;14,52392534;730,6336741;516,5501412;1264,583687;15,06123197;9,98835914;19,66704171;1917600;31,5;-0,17;53,5;37,83
Scirpus sylvaticus;6,655247248;1,295219093;12,89815605;731,2631727;511,7203515;1313,090361;13,61263356;9,562701453;18,58341243;7051600;59,83;-9,17;65,83;38,83
Scorzonera hispanica;7,294368818;4,214959368;11,45160676;738,1177976;508,2865611;1338,802579;15,928699;13,37352278;18,16538146;1036400;55,17;-6,83;54,83;40,83
Scrophularia nodosa;7,354708079;2,319097522;12,29020408;705,3244364;493,6033606;1223,040038;13,88911604;10,37450287;18,2518998;7352400;59,83;-10,5;70,17;38,83
Scutellaria galericulata;6,232999371;0,806045267;12,14842766;729,3561566;499,0040544;1305,531519;13,33722005;8,737460349;17,70314246;8133200;59,83;-9,83;70,5;38,5
Athyrium filix-femina;6,197469971;-0,837772649;13,15747406;716,9945544;503,1921819;1254,548526;12,82405825;7,511005644;18,40527465;8010800;59,83;-10,5;70,17;37,5
Securigera varia;8,974123366;4,069579149;14,90462469;715,5178985;500,6938187;1227,402797;15,88540979;12,39764406;20,92245875;5263600;55,5;-4,5;57,17;32,83
Hylotelephium telephium;7,281825904;2,27184463;12,46844471;714,0410027;488,2412303;1246,920324;14,19125302;10,84042571;18,81129603;6974800;59,83;-10,5;63,83;37,17
Jacobaea vulgaris;7,731226657;2,65867229;13,56314681;693,5455205;500,4709989;1156,031057;14,09160355;10,75014551;18,69777874;7131200;59,83;-10,5;62,83;38,83
Senecio ovatus;8,773681644;4,281730265;13,75450047;730,8618814;517,7369541;1302,498791;14,50398015;9,40524071;19,4481344;1261200;25,5;1,5;52,5;37,83
Senecio sylvaticus;8,700454802;4,354783712;13,94018826;730,5441321;514,7270238;1275,622701;13,86970581;10,48244909;17,76445054;3812000;30,17;-10,5;63,83;38,5
Senecio viscosus;9,304200128;4,332996617;14,17811186;728,1106985;516,0280036;1270,532595;14,64676459;10,86305341;19,71192879;3528800;30,5;-9,17;62,83;36,17
Serratula tinctoria;9,729557179;6,19911461;13,95073389;720,3424462;511,6866602;1257,342944;14,99731613;11,2920309;19,24280716;2979200;29,83;-8,5;60,5;38,17
Silene dioica;6,648817705;-0,618017653;12,03506762;761,6228444;517,1636177;1385,21301;12,25185356;6,130211845;16,36000388;5087200;43,83;-10,17;71,17;41,17
Silene latifolia;6,369407029;1,103246049;11,61547939;706,3935346;486,9532149;1245,078627;13,39184898;8,64119445;17,95076167;7423600;59,83;-7,5;68,5;35,83
Silene nutans;7,000614692;2,229800011;12,61424093;731,05386;506,209844;1246,866385;14,09976536;11,05684206;17,77679721;5766000;59,83;-9,5;63,5;39,17
Silene vulgaris;7,681393295;0,245133774;16,85714356;680,7465023;397,3885938;1237,983127;14,41720059;8,383828125;21,21128994;10319600;59,83;-10,5;69,5;30,5
Sisymbrium officinale;9,29288638;3,189961367;16,8018529;722,5670006;458,0937796;1312,875512;15,28321589;11,3214899;21,27412998;7238800;56,17;-10,5;62,5;30,17
Solanum dulcamara;8,239100999;2,657820856;15,28809291;683,9995788;434,9508209;1173,742374;14,61484745;10,60340038;20,22751429;8238800;59,83;-10,5;64,5;35,17
Solidago virgaurea;5,20536712;-1,754183615;11,45458723;702,8053708;468,9195399;1240,843915;12,32876262;5,969483607;17,63920598;9214800;59,83;-10,5;71,17;39,5
Sonchus arvensis;7,178938861;1,270346626;14,0279868;711,9730185;488,6760494;1239,30439;13,95758538;9,761228838;19,32796654;8393200;59,83;-10,5;71,17;34,83
Sonchus oleraceus;8,363057233;2,214639013;16,32403341;693,6409339;442,3414743;1206,220913;14,85677441;10,56385914;21,02313345;8801600;59,83;-10,5;68,5;29,17
